accountage,monthlycharges,totalcharges,subscriptiontype,paymentmethod,paperlessbilling,contenttype,multideviceaccess,deviceregistered,viewinghoursperweek,averageviewingduration,contentdownloadspermonth,genrepreference,userrating,supportticketspermonth,gender,watchlistsize,parentalcontrol,subtitlesenabled,churn
117,6.388363962,747.4385835,Premium,Mailed check,No,TV Shows,No,Computer,11.43098621,50.16242842,4,Action,4.433009908,7,Female,1,Yes,No,0
45,7.678230031,345.5203514,Standard,Bank transfer,No,Movies,No,Computer,14.0663557,141.1419778,32,Sci-Fi,3.785356422,5,Male,0,Yes,Yes,0
20,5.638904019,112.7780804,Premium,Electronic check,Yes,TV Shows,Yes,TV,10.7787418,94.61500409,11,Drama,2.859082381,9,Male,13,Yes,Yes,0
11,5.38529686,59.23826546,Premium,Mailed check,Yes,TV Shows,No,Tablet,20.71419159,169.9502454,23,Drama,4.076334012,9,Female,2,Yes,Yes,0
70,5.413567787,378.9497451,Basic,Bank transfer,Yes,TV Shows,No,Mobile,16.26116312,9.634155431,21,Comedy,1.904033509,9,Female,22,Yes,Yes,1
110,15.96276191,1755.90381,Basic,Credit card,Yes,Movies,Yes,TV,35.44677897,84.03623299,22,Comedy,1.336620417,2,Male,0,No,No,0
74,5.964722286,441.3894492,Standard,Mailed check,No,TV Shows,Yes,TV,35.60049594,116.1189139,12,Sci-Fi,2.999244678,4,Female,6,No,Yes,0
66,15.61394027,1030.520058,Basic,Bank transfer,Yes,TV Shows,No,Computer,18.09867318,13.75961867,18,Action,2.766316931,3,Female,4,No,No,0
36,18.14517906,653.2264462,Basic,Credit card,Yes,TV Shows,No,Mobile,31.47819301,62.84501888,35,Sci-Fi,2.409247447,5,Female,13,No,Yes,1
27,12.80340995,345.6920685,Premium,Bank transfer,No,Both,No,Computer,34.10185868,116.7070091,40,Comedy,1.245778484,6,Female,2,Yes,No,0
25,11.56179747,289.0449368,Basic,Credit card,No,Both,No,Computer,30.98776943,47.70961396,30,Comedy,4.897191928,3,Male,1,No,Yes,0
3,16.58813088,49.76439264,Standard,Electronic check,Yes,TV Shows,No,TV,7.410833479,171.7263023,28,Sci-Fi,2.948494033,3,Female,21,Yes,Yes,0
111,14.93198671,1657.450525,Premium,Bank transfer,Yes,Both,Yes,TV,10.37235891,100.9687654,13,Sci-Fi,2.676508219,4,Male,2,Yes,No,0
102,7.493850062,764.3727064,Premium,Mailed check,Yes,Both,Yes,TV,30.78374958,124.0503793,39,Drama,2.310068814,4,Female,23,No,Yes,0
5,19.49849864,97.49249318,Basic,Electronic check,No,Both,No,Computer,29.9715789,117.4608579,40,Sci-Fi,4.388605695,7,Male,5,Yes,Yes,0
66,9.517620075,628.162925,Premium,Bank transfer,No,TV Shows,Yes,Mobile,10.84584214,159.7370835,21,Action,4.237339051,0,Female,22,No,Yes,0
46,14.3980681,662.3111324,Premium,Electronic check,No,Movies,No,Mobile,14.42708287,128.5110838,20,Sci-Fi,2.225774208,7,Female,3,Yes,Yes,0
74,12.67146025,937.6880586,Premium,Electronic check,Yes,Movies,No,TV,20.47745134,166.5863315,27,Comedy,2.097091503,5,Male,2,No,Yes,0
100,8.328938227,832.8938227,Basic,Bank transfer,No,TV Shows,Yes,Tablet,7.93288684,58.2821456,37,Comedy,3.219378433,7,Female,5,No,No,0
81,18.34724578,1486.126908,Standard,Electronic check,Yes,TV Shows,Yes,Tablet,26.15436643,120.9540478,35,Comedy,1.365663006,1,Male,24,No,Yes,0
55,6.55280409,360.4042249,Premium,Mailed check,No,TV Shows,Yes,TV,23.31410527,40.99412195,18,Sci-Fi,3.223872585,3,Female,3,Yes,No,0
10,19.65899244,196.5899244,Standard,Mailed check,Yes,TV Shows,No,Mobile,19.24704805,84.3297637,48,Fantasy,3.420092702,9,Male,3,No,No,1
107,13.90351599,1487.676211,Premium,Credit card,No,Movies,Yes,Computer,38.87673758,76.61561981,21,Comedy,3.213778198,1,Male,16,No,Yes,0
7,9.008752331,63.06126632,Standard,Mailed check,No,Movies,No,TV,25.38815312,124.6948797,46,Comedy,3.164069064,2,Female,15,No,No,0
67,5.514190595,369.4507699,Basic,Credit card,Yes,Movies,No,Computer,12.5241286,12.76822455,40,Fantasy,4.727182318,1,Female,0,Yes,No,0
113,5.527484113,624.6057048,Basic,Electronic check,No,Both,No,Tablet,8.881509974,122.2540301,6,Comedy,4.074005492,5,Female,24,No,Yes,0
64,9.011696325,576.7485648,Standard,Bank transfer,Yes,Movies,No,TV,30.0640721,58.67822179,40,Action,4.852262639,9,Female,7,No,No,0
73,5.936364905,433.3546381,Basic,Credit card,No,TV Shows,No,TV,1.639569736,35.59798905,23,Action,1.300018597,0,Male,10,No,No,0
106,18.15823814,1924.773243,Premium,Mailed check,Yes,TV Shows,No,Mobile,38.87331828,29.01312995,7,Action,4.154705728,9,Male,8,Yes,Yes,0
98,18.90388622,1852.58085,Standard,Electronic check,No,TV Shows,Yes,Computer,2.594593174,40.63446311,8,Drama,4.34636539,6,Female,21,No,Yes,1
71,19.20500896,1363.555636,Premium,Bank transfer,Yes,Both,No,Mobile,23.42566117,114.9153888,14,Fantasy,1.916065597,6,Female,8,Yes,Yes,0
50,16.11790618,805.8953089,Basic,Mailed check,Yes,Both,No,Mobile,33.07234073,47.72094445,18,Sci-Fi,4.004026321,8,Male,19,No,No,0
9,5.140743812,46.26669431,Basic,Credit card,Yes,Movies,Yes,Computer,36.49849925,77.58665435,4,Action,1.887904586,7,Female,17,Yes,No,0
98,18.3483507,1798.138369,Basic,Credit card,Yes,Movies,No,Mobile,26.96456817,116.9267047,4,Fantasy,2.665559036,8,Female,18,Yes,No,0
51,16.99542825,866.7668409,Standard,Electronic check,Yes,TV Shows,No,Computer,5.991293939,83.60215563,28,Action,2.009272591,3,Male,22,Yes,No,0
113,6.095118557,688.7483969,Standard,Electronic check,Yes,Movies,No,Computer,23.8186133,61.75195097,5,Comedy,1.729372803,5,Female,12,Yes,Yes,0
36,18.3570648,660.8543329,Basic,Bank transfer,Yes,TV Shows,Yes,Tablet,33.91707877,113.5336048,42,Fantasy,4.493594392,1,Female,0,Yes,No,0
40,15.16930921,606.7723684,Standard,Electronic check,No,Both,Yes,Mobile,1.518952029,105.7737242,22,Sci-Fi,1.487814495,5,Female,16,Yes,Yes,1
62,12.02340919,745.4513698,Basic,Bank transfer,No,Movies,No,Tablet,12.32412269,18.43850242,15,Fantasy,4.476978894,2,Male,1,Yes,Yes,0
114,11.71529294,1335.543396,Basic,Electronic check,No,Movies,No,TV,37.86809939,150.7561022,41,Action,1.131103603,0,Female,12,No,Yes,0
16,7.128362444,114.0537991,Standard,Bank transfer,No,Both,No,Computer,4.590826855,43.30877434,36,Fantasy,3.107334747,6,Female,23,Yes,Yes,0
28,6.247482538,174.9295111,Premium,Bank transfer,Yes,Movies,No,TV,15.16077167,161.7197269,9,Drama,3.515499871,4,Male,24,No,No,0
110,13.54036062,1489.439668,Premium,Mailed check,No,Both,Yes,Computer,27.35205225,112.8975334,24,Action,1.257854221,2,Male,11,Yes,Yes,0
52,16.23852432,844.4032645,Basic,Mailed check,No,TV Shows,Yes,Computer,7.462846884,15.66785212,28,Action,4.314600946,5,Male,12,Yes,Yes,0
45,9.296408287,418.3383729,Standard,Bank transfer,No,TV Shows,No,TV,21.2869576,92.78817637,23,Drama,4.834949759,7,Female,8,Yes,Yes,1
32,12.02246245,384.7187983,Standard,Mailed check,Yes,TV Shows,Yes,Mobile,28.78621738,127.6852442,33,Comedy,1.2649977,9,Female,0,No,Yes,0
29,13.37868144,387.9817617,Basic,Credit card,No,Movies,No,TV,17.64535502,83.80857138,2,Comedy,1.370078136,1,Male,15,Yes,No,1
34,8.194121229,278.6001218,Premium,Bank transfer,No,Movies,Yes,Tablet,36.73420411,6.920313742,47,Drama,4.508780593,3,Female,21,Yes,No,0
103,18.48167034,1903.612045,Premium,Bank transfer,Yes,Movies,Yes,Computer,37.95073524,13.4585072,17,Action,3.152885271,5,Male,3,No,Yes,0
54,6.063391009,327.4231145,Premium,Credit card,No,Both,No,TV,26.86482305,22.55646567,13,Sci-Fi,1.506933066,5,Female,10,Yes,No,0
82,12.83024827,1052.080358,Premium,Electronic check,No,Both,Yes,Computer,22.26866668,134.0933977,35,Fantasy,4.026854785,9,Male,10,No,Yes,0
6,12.35154742,74.10928453,Basic,Mailed check,No,TV Shows,No,TV,1.698279981,89.78890245,0,Drama,3.399358322,7,Male,24,No,Yes,1
6,18.17409608,109.0445765,Standard,Mailed check,No,Movies,No,Mobile,10.97938484,9.369372778,21,Fantasy,4.354975975,1,Female,8,No,No,0
76,12.23208117,929.6381691,Standard,Electronic check,Yes,Both,Yes,Mobile,29.54824374,165.8325677,16,Action,3.332007252,2,Female,6,Yes,No,0
114,8.482747478,967.0332125,Basic,Electronic check,No,Movies,No,Mobile,36.62933036,138.9040465,10,Drama,3.423062032,5,Male,20,No,Yes,0
80,6.612662223,529.0129778,Basic,Electronic check,Yes,Movies,No,Computer,33.70281326,136.9730854,47,Comedy,3.698164399,4,Male,24,Yes,Yes,0
102,18.00409712,1836.417907,Basic,Credit card,Yes,Both,Yes,TV,3.577244319,137.2766016,41,Drama,3.826989676,5,Male,0,Yes,No,0
1,8.366117881,8.366117881,Basic,Bank transfer,Yes,TV Shows,Yes,TV,28.74356781,172.1945901,14,Comedy,2.390826816,5,Male,3,No,No,0
68,14.01399174,952.9514386,Standard,Mailed check,No,TV Shows,No,Tablet,31.90223163,119.4965638,37,Fantasy,3.816026934,7,Female,9,Yes,No,0
118,5.552797774,655.2301374,Basic,Electronic check,Yes,Movies,No,Computer,38.2492585,175.9706053,32,Sci-Fi,2.980896704,2,Male,9,No,Yes,0
74,14.09419377,1042.970339,Basic,Mailed check,Yes,TV Shows,No,Tablet,7.099793154,146.0754886,0,Drama,3.851197734,0,Male,22,No,No,0
51,6.939001037,353.8890529,Basic,Mailed check,Yes,Movies,Yes,TV,8.67480629,79.91723,8,Sci-Fi,4.603089108,7,Female,7,Yes,Yes,0
68,9.690575701,658.9591476,Standard,Electronic check,No,Both,Yes,Computer,23.39024065,80.30253946,21,Fantasy,1.948516788,0,Female,2,Yes,Yes,0
90,14.72564291,1325.307862,Standard,Credit card,Yes,Movies,Yes,Mobile,1.044219236,61.58229065,4,Comedy,4.441573109,6,Female,16,No,Yes,1
12,15.46378234,185.565388,Standard,Bank transfer,Yes,Movies,No,TV,7.595864343,168.8290704,49,Comedy,1.094593645,5,Female,0,No,No,0
63,14.07468721,886.7052945,Basic,Electronic check,Yes,Both,No,TV,17.22086267,98.54223824,22,Comedy,4.131094842,3,Female,24,Yes,Yes,0
73,19.18534645,1400.530291,Premium,Electronic check,No,Movies,No,TV,12.28578518,145.7647079,46,Drama,1.243423742,7,Female,17,Yes,Yes,0
87,8.137735007,707.9829456,Standard,Mailed check,Yes,Both,Yes,Mobile,9.503317773,25.73874944,26,Fantasy,1.600204906,2,Female,11,No,Yes,1
110,19.69323366,2166.255703,Basic,Electronic check,No,Both,Yes,TV,7.244252965,8.969273589,11,Drama,2.725507442,1,Male,15,No,Yes,1
72,13.27923722,956.1050801,Basic,Electronic check,Yes,Movies,No,TV,1.860804042,133.9991376,35,Action,2.413731123,0,Female,20,No,No,0
8,8.908003278,71.26402622,Basic,Electronic check,Yes,TV Shows,Yes,Mobile,22.14187559,47.5347591,21,Drama,3.072120228,5,Male,23,Yes,No,0
6,19.55841026,117.3504615,Standard,Credit card,No,Both,No,Computer,27.96906104,55.65496527,3,Comedy,1.321498552,5,Female,16,No,Yes,1
2,9.828324798,19.6566496,Premium,Mailed check,Yes,Both,Yes,Computer,9.227588032,76.07339071,0,Drama,1.201087424,3,Male,6,Yes,No,1
51,11.083017,565.2338668,Standard,Mailed check,No,Both,No,Mobile,1.973079186,93.17471184,42,Action,1.242513202,9,Female,2,Yes,No,0
60,18.79710757,1127.826454,Basic,Bank transfer,No,TV Shows,Yes,Computer,25.14213169,156.924182,34,Drama,3.859872033,0,Female,1,Yes,No,0
30,14.94335701,448.3007103,Basic,Electronic check,No,Movies,Yes,Mobile,4.135726182,26.6673577,37,Drama,1.547575067,3,Female,11,Yes,No,0
69,18.57519589,1281.688517,Standard,Electronic check,No,Movies,Yes,Mobile,21.69556515,8.906821268,5,Sci-Fi,1.732160202,1,Male,23,Yes,Yes,0
69,11.61039967,801.1175776,Basic,Bank transfer,No,Movies,No,TV,25.13442082,10.65604157,47,Action,1.663330269,4,Female,17,Yes,Yes,0
105,8.334202542,875.0912669,Basic,Bank transfer,Yes,TV Shows,Yes,Computer,10.17975729,146.8286148,38,Drama,1.996832876,1,Male,24,No,No,0
47,15.61037514,733.6876316,Basic,Electronic check,No,TV Shows,Yes,TV,19.24496367,87.07843503,2,Action,1.473896477,9,Female,14,Yes,Yes,0
83,11.95880083,992.5804692,Basic,Bank transfer,Yes,Both,No,Mobile,19.4379747,22.3495746,46,Action,4.735467102,6,Female,2,Yes,Yes,0
49,14.94109731,732.113768,Premium,Credit card,Yes,Movies,No,Mobile,1.209429553,83.9860965,40,Comedy,2.123383333,0,Female,4,Yes,Yes,0
57,17.1729925,978.8605727,Premium,Mailed check,No,TV Shows,No,TV,12.07146774,107.5145927,26,Fantasy,1.813588446,1,Male,10,Yes,Yes,0
39,17.57014627,685.2357046,Premium,Bank transfer,No,Both,No,TV,9.676463863,69.13981654,9,Drama,3.417327576,3,Male,0,No,No,0
68,16.2185229,1102.859557,Basic,Bank transfer,Yes,TV Shows,No,TV,35.99836739,132.9466659,3,Drama,2.597638973,0,Female,2,Yes,No,0
22,17.62043795,387.6496349,Premium,Electronic check,No,Both,No,Computer,26.81342322,54.2731514,24,Sci-Fi,2.564472855,8,Female,20,Yes,No,1
48,13.07099272,627.4076503,Standard,Electronic check,Yes,TV Shows,No,Tablet,18.27027457,84.81809964,21,Sci-Fi,1.27425082,0,Female,19,No,No,0
92,11.86110708,1091.221851,Premium,Electronic check,Yes,Movies,Yes,TV,28.01535148,153.3780824,10,Action,1.190163155,3,Male,6,Yes,Yes,0
15,12.09214419,181.3821628,Basic,Bank transfer,Yes,Movies,Yes,TV,13.08909884,167.4849598,28,Action,4.475557297,3,Male,15,Yes,No,0
108,13.73769346,1483.670894,Standard,Mailed check,Yes,Movies,Yes,TV,32.91165791,137.2448667,20,Comedy,2.344254001,8,Male,14,No,Yes,0
115,5.280955528,607.3098858,Standard,Bank transfer,No,TV Shows,Yes,Tablet,13.3333985,36.91372084,8,Sci-Fi,4.450795483,5,Female,10,No,Yes,0
69,13.7683196,950.0140523,Premium,Mailed check,Yes,TV Shows,Yes,TV,19.90482561,113.0020292,13,Action,2.593856627,4,Female,6,Yes,Yes,0
43,16.56801462,712.4246286,Basic,Mailed check,No,Movies,Yes,TV,22.81147536,16.19630373,0,Comedy,1.267077353,1,Male,15,No,No,0
79,16.81044926,1328.025492,Premium,Credit card,No,Both,Yes,Computer,25.85265289,8.72276519,14,Fantasy,1.906613391,3,Male,15,Yes,Yes,0
115,15.09047623,1735.404766,Standard,Bank transfer,No,TV Shows,No,Mobile,10.4022315,53.39021686,17,Fantasy,1.815416543,2,Male,23,Yes,Yes,0
83,18.26869612,1516.301778,Standard,Electronic check,No,TV Shows,No,TV,31.814914,73.86215051,23,Action,3.878654687,8,Female,15,Yes,Yes,0
35,17.36747192,607.8615172,Basic,Mailed check,Yes,Movies,No,Tablet,11.00648577,35.08116831,42,Drama,4.780281784,0,Female,18,Yes,No,0
112,8.113980837,908.7658537,Standard,Mailed check,Yes,Movies,No,Computer,37.9546623,81.2827536,11,Comedy,1.194755794,5,Male,4,Yes,Yes,0
116,16.43122609,1906.022227,Premium,Mailed check,No,TV Shows,Yes,Tablet,23.0759819,33.65540853,36,Comedy,2.609503022,8,Female,16,No,No,1
5,5.299976438,26.49988219,Premium,Electronic check,No,Movies,No,Computer,25.56358332,57.28425941,23,Comedy,1.75955782,8,Male,11,Yes,Yes,0
35,9.016427228,315.574953,Basic,Bank transfer,Yes,Both,No,TV,13.18597019,176.5367919,1,Comedy,1.828620221,3,Male,13,Yes,No,0
52,7.119475746,370.2127388,Basic,Credit card,No,TV Shows,No,Computer,7.908432639,164.9266099,31,Fantasy,2.579126643,2,Female,12,No,No,0
21,18.37708173,385.9187163,Basic,Bank transfer,Yes,TV Shows,Yes,Tablet,14.17751422,25.74291408,15,Sci-Fi,3.244694246,9,Female,10,No,No,1
58,13.81567161,801.3089534,Premium,Credit card,No,Movies,No,TV,27.72870185,30.11039507,30,Comedy,2.034049012,8,Male,14,Yes,Yes,0
34,10.25677507,348.7303525,Basic,Bank transfer,Yes,Both,No,Mobile,35.72003949,32.72865346,5,Fantasy,2.495619276,4,Female,2,No,Yes,0
40,13.36632713,534.6530853,Premium,Mailed check,Yes,Movies,No,Mobile,11.05529895,119.2470413,8,Action,3.458418685,2,Male,22,Yes,Yes,0
81,7.158857681,579.8674722,Basic,Mailed check,Yes,Both,No,Tablet,14.8971381,64.45418611,27,Action,3.224991503,5,Male,11,Yes,No,0
65,11.21543089,729.0030079,Standard,Bank transfer,No,TV Shows,No,Mobile,11.24590132,139.0068939,40,Sci-Fi,1.110872339,4,Male,17,Yes,No,0
77,13.54956863,1043.316785,Premium,Bank transfer,Yes,Both,Yes,Computer,2.295289073,171.4059161,32,Sci-Fi,1.163032767,1,Male,8,Yes,No,0
28,8.231655718,230.4863601,Premium,Credit card,No,Movies,No,Tablet,33.21292023,38.61043189,46,Sci-Fi,1.585055038,4,Male,6,No,No,0
99,8.533468815,844.8134127,Standard,Mailed check,Yes,Both,Yes,Tablet,29.80239591,119.14332,49,Drama,4.549069606,6,Male,8,Yes,Yes,0
13,10.8750995,141.3762935,Premium,Bank transfer,No,Both,No,Mobile,33.08711616,145.482215,26,Drama,1.598743181,9,Male,20,Yes,Yes,0
74,15.28428478,1131.037074,Premium,Electronic check,No,Both,Yes,Computer,39.37254736,148.4508718,6,Action,2.936389083,2,Male,24,Yes,Yes,0
16,15.40826501,246.5322402,Basic,Mailed check,No,Both,No,Mobile,1.590751429,164.498884,27,Sci-Fi,2.322011624,3,Female,12,Yes,No,0
46,9.868370308,453.9450342,Basic,Bank transfer,Yes,Both,Yes,Computer,35.73744773,84.67841751,0,Sci-Fi,2.973730281,2,Male,8,Yes,No,1
92,10.88246824,1001.187078,Premium,Mailed check,Yes,Movies,No,Computer,36.07073777,112.5667552,14,Fantasy,2.91150114,4,Female,11,No,No,0
52,11.65735444,606.1824311,Premium,Credit card,No,TV Shows,Yes,Tablet,24.51213162,162.4097156,26,Fantasy,1.365403235,1,Male,0,Yes,No,0
103,18.24103751,1878.826863,Basic,Bank transfer,No,TV Shows,Yes,Mobile,38.17019198,108.1658741,7,Sci-Fi,1.487233024,5,Male,12,Yes,No,0
81,7.981884049,646.5326079,Basic,Credit card,No,Movies,No,Computer,33.81144431,83.16976463,24,Comedy,3.376164636,6,Female,8,No,No,1
86,16.86292611,1450.211645,Standard,Credit card,No,Both,Yes,Computer,1.161491084,102.3867365,8,Fantasy,1.620553621,2,Male,4,No,Yes,0
38,17.08664075,649.2923485,Basic,Mailed check,No,Movies,Yes,Computer,15.14885133,61.91764213,46,Comedy,1.425272033,7,Male,22,Yes,No,0
80,14.63841531,1171.073225,Basic,Bank transfer,Yes,TV Shows,No,Mobile,30.34113406,38.36042753,0,Drama,3.741108937,2,Female,8,No,Yes,0
60,11.90174941,714.1049646,Standard,Bank transfer,Yes,TV Shows,Yes,Mobile,24.45261193,71.40808085,30,Drama,2.445876892,5,Male,13,Yes,Yes,0
41,5.399148928,221.365106,Standard,Credit card,No,Both,No,TV,23.41099885,114.2243591,36,Sci-Fi,4.62315334,8,Female,21,No,No,0
69,14.79762211,1021.035926,Premium,Bank transfer,No,Movies,No,Computer,25.9697871,102.5552375,13,Action,4.792243933,5,Female,24,Yes,No,0
119,13.33072018,1586.355702,Premium,Bank transfer,Yes,Both,No,Mobile,34.8178923,156.6587748,24,Drama,1.944038445,4,Male,12,Yes,Yes,0
118,12.29456053,1450.758143,Standard,Bank transfer,No,Both,Yes,Mobile,23.36890958,100.4537187,37,Action,4.349027307,3,Female,2,No,Yes,0
17,18.86752504,320.7479256,Premium,Bank transfer,No,Movies,Yes,Computer,25.57486905,77.27802041,16,Action,1.14344268,9,Female,8,Yes,Yes,0
4,14.99585448,59.98341793,Premium,Electronic check,No,TV Shows,No,TV,21.86059897,61.20786607,35,Action,2.415045631,7,Female,13,No,Yes,0
42,9.26612014,389.1770459,Standard,Credit card,No,TV Shows,Yes,Tablet,5.822228668,144.2062579,9,Comedy,1.353453737,0,Female,23,No,No,0
94,8.779527023,825.2755402,Basic,Mailed check,No,TV Shows,No,TV,22.60236636,76.74544728,48,Fantasy,3.772111576,0,Female,18,Yes,Yes,0
7,17.82559622,124.7791735,Basic,Electronic check,Yes,TV Shows,No,TV,26.88173977,123.8323164,8,Drama,3.322419445,8,Male,7,No,Yes,1
104,17.22310595,1791.203019,Standard,Mailed check,Yes,Movies,No,Computer,37.66209534,23.29669199,3,Action,3.695292627,9,Male,16,No,No,0
16,13.26806861,212.2890978,Standard,Bank transfer,No,Movies,Yes,Computer,31.50980686,15.17108731,43,Drama,1.896203054,1,Male,16,Yes,No,0
106,18.70208589,1982.421105,Basic,Bank transfer,Yes,TV Shows,No,Computer,2.04835486,87.25645312,33,Comedy,1.402942004,3,Male,0,Yes,Yes,0
7,15.74125627,110.1887939,Premium,Credit card,Yes,TV Shows,Yes,Computer,4.415677823,35.99937839,39,Fantasy,4.151799749,7,Female,3,Yes,Yes,0
53,12.17373652,645.2080356,Basic,Electronic check,Yes,Movies,Yes,TV,13.71695298,90.27776019,5,Action,4.378708178,0,Male,22,No,No,0
107,12.9707639,1387.871737,Standard,Bank transfer,Yes,TV Shows,Yes,Computer,6.349734183,55.07169579,46,Comedy,4.947914703,0,Female,4,Yes,No,0
60,6.496064196,389.7638518,Standard,Bank transfer,Yes,TV Shows,Yes,TV,17.42099753,37.74902423,23,Action,4.812284378,6,Male,7,Yes,Yes,0
15,19.98465652,299.7698479,Standard,Electronic check,Yes,TV Shows,No,Mobile,37.27749491,10.32613956,26,Comedy,3.014997229,5,Female,6,No,Yes,0
26,11.59258627,301.4072431,Basic,Mailed check,No,TV Shows,Yes,Mobile,3.964149318,102.0894025,7,Comedy,4.12590541,0,Male,13,Yes,Yes,1
59,9.538563798,562.7752641,Premium,Mailed check,Yes,TV Shows,No,Computer,9.964586414,132.2516486,24,Fantasy,1.606289683,6,Female,7,No,Yes,1
86,15.2827197,1314.313895,Premium,Mailed check,Yes,Both,Yes,Computer,32.38873371,69.07440251,20,Comedy,1.288109044,3,Female,4,Yes,No,0
53,11.23687506,595.5543781,Premium,Bank transfer,Yes,TV Shows,No,Tablet,1.617807106,42.25822465,35,Action,3.723831362,4,Male,20,No,No,0
110,17.86322832,1964.955116,Premium,Credit card,No,Both,Yes,Computer,22.4481075,154.1728099,41,Fantasy,4.205243155,9,Female,18,No,No,0
51,18.58755916,947.965517,Premium,Electronic check,Yes,TV Shows,No,Computer,18.85794798,30.64045487,1,Fantasy,4.932211086,0,Male,14,Yes,No,1
1,5.875040087,5.875040087,Standard,Credit card,No,Both,No,TV,5.080385596,162.530011,22,Drama,2.976556004,0,Male,4,Yes,No,0
31,14.73669452,456.83753,Premium,Credit card,Yes,TV Shows,No,TV,19.75750669,94.12208463,48,Sci-Fi,4.748443737,2,Female,22,Yes,No,0
35,10.54173987,368.9608955,Standard,Mailed check,Yes,Movies,No,Mobile,10.98608619,35.47943777,28,Comedy,2.193106341,4,Female,6,No,Yes,0
16,18.82143371,301.1429394,Standard,Mailed check,Yes,Movies,Yes,Mobile,13.35752194,91.0521475,44,Fantasy,4.058759771,1,Female,12,No,Yes,0
10,11.43118772,114.3118772,Standard,Credit card,Yes,Both,Yes,Computer,12.98129372,28.73847957,7,Sci-Fi,3.192350259,9,Male,16,No,Yes,0
42,11.82937158,496.8336062,Premium,Credit card,Yes,Both,Yes,TV,22.76823535,70.94949333,16,Action,1.685920681,3,Female,2,Yes,Yes,1
69,15.29614619,1055.434087,Premium,Bank transfer,Yes,Movies,No,Mobile,24.26119942,131.0548274,48,Drama,3.172439747,7,Female,22,Yes,Yes,0
74,11.26874012,833.8867685,Basic,Credit card,No,Movies,No,Mobile,11.46967131,91.56005543,18,Sci-Fi,3.006976425,4,Male,2,Yes,No,0
35,18.97197623,664.0191681,Premium,Electronic check,Yes,Both,Yes,TV,26.7016911,78.47442591,6,Action,3.747849397,7,Male,20,Yes,No,1
25,5.974860593,149.3715148,Basic,Credit card,Yes,Movies,Yes,Mobile,24.09166405,150.1980874,41,Comedy,1.093353991,1,Female,2,No,No,0
55,18.14972521,998.2348866,Standard,Mailed check,No,Both,Yes,TV,23.66480882,114.1099191,25,Drama,3.758621434,6,Male,10,No,No,0
1,9.043749953,9.043749953,Premium,Electronic check,Yes,TV Shows,No,Tablet,2.171226038,120.4935338,38,Sci-Fi,4.990253715,8,Female,17,No,Yes,0
43,11.11411573,477.9069764,Basic,Mailed check,Yes,Both,No,Mobile,19.95458819,175.7241831,26,Drama,1.724285154,2,Female,9,No,No,0
57,15.21948441,867.5106116,Premium,Credit card,Yes,Both,Yes,Computer,3.090261924,96.65958432,28,Action,1.98086614,0,Female,22,No,No,0
102,12.00027599,1224.028151,Basic,Mailed check,Yes,Movies,No,Computer,37.26432672,34.21991006,25,Fantasy,1.854291005,0,Female,11,No,Yes,0
60,9.969023634,598.1414181,Premium,Electronic check,No,TV Shows,No,Computer,3.384992108,49.89376034,24,Comedy,4.209726659,8,Female,7,No,Yes,0
83,5.776377855,479.4393619,Standard,Mailed check,Yes,Movies,Yes,Mobile,4.875347263,84.78031047,29,Sci-Fi,3.459771396,5,Male,8,No,Yes,0
93,12.15803661,1130.697405,Premium,Mailed check,No,Both,Yes,Tablet,31.10222104,30.94495845,6,Fantasy,3.263988549,8,Male,21,No,Yes,0
78,16.54323766,1290.372538,Premium,Electronic check,No,Both,No,TV,39.12556866,131.4153356,10,Action,1.963304466,9,Female,9,Yes,Yes,1
82,17.61375135,1444.32761,Basic,Mailed check,No,Both,Yes,TV,26.08697039,9.044721838,20,Action,2.568393654,6,Female,14,Yes,Yes,0
84,11.91407722,1000.782486,Premium,Electronic check,No,Both,Yes,Mobile,1.201906737,96.8535461,13,Sci-Fi,2.928029353,4,Female,3,Yes,Yes,0
32,18.83073864,602.5836364,Basic,Bank transfer,No,Both,No,TV,20.49574175,131.1271243,31,Drama,3.154682561,5,Male,16,Yes,Yes,0
42,14.23311646,597.7908912,Standard,Electronic check,Yes,Movies,No,Tablet,34.85620838,76.35959968,12,Drama,4.954443767,0,Female,4,No,Yes,0
117,17.3594808,2031.059253,Basic,Mailed check,No,Both,No,TV,10.85516441,42.31875659,15,Fantasy,2.500071178,8,Male,22,Yes,Yes,0
3,7.107656757,21.32297027,Premium,Electronic check,No,Both,Yes,TV,22.69009642,42.85311543,12,Sci-Fi,1.390290289,2,Male,17,Yes,Yes,0
53,8.532214242,452.2073548,Premium,Bank transfer,No,Both,Yes,Mobile,11.36062067,13.00673832,23,Sci-Fi,3.062477279,0,Female,22,Yes,Yes,0
69,14.0487127,969.3611764,Standard,Bank transfer,Yes,TV Shows,Yes,Tablet,11.98674705,20.53099792,36,Fantasy,2.087599863,8,Male,12,No,Yes,1
66,15.03121028,992.0598788,Premium,Bank transfer,Yes,Both,No,Tablet,38.09955107,138.8130732,19,Sci-Fi,2.565149182,9,Female,16,Yes,Yes,0
46,8.689728361,399.7275046,Premium,Mailed check,No,Movies,Yes,Mobile,13.20401023,70.491045,33,Drama,1.2174897,8,Female,15,Yes,No,1
