accountage,monthlycharges,totalcharges,subscriptiontype,paymentmethod,paperlessbilling,contenttype,multideviceaccess,deviceregistered,viewinghoursperweek,averageviewingduration,contentdownloadspermonth,genrepreference,userrating,supportticketspermonth,gender,watchlistsize,parentalcontrol,subtitlesenabled
3,19.91751384,59.75254153,Standard,Electronic check,No,TV Shows,No,Mobile,2.769896429,51.20239383,44,Comedy,4.840221521,4,Male,15,Yes,No
42,17.00264019,714.1108881,Premium,Electronic check,No,Both,Yes,Tablet,23.21255871,157.9864284,28,Action,1.310446328,7,Female,15,Yes,Yes
117,6.884580999,805.4959769,Premium,Credit card,No,Movies,Yes,Mobile,3.698350866,26.19390444,8,Fantasy,2.09379918,8,Female,6,No,Yes
58,6.668873152,386.7946428,Basic,Bank transfer,No,Both,No,Tablet,38.72811109,81.79752176,15,Fantasy,2.550924204,0,Male,13,No,No
117,19.48091404,2279.266943,Basic,Bank transfer,No,TV Shows,No,Mobile,19.58726708,167.4817254,29,Sci-Fi,1.293191353,0,Female,15,No,No
91,6.058000256,551.2780233,Basic,Mailed check,Yes,Both,No,Tablet,28.71319325,173.5269106,32,Fantasy,1.393962449,7,Male,6,Yes,No
58,15.87538858,920.7725378,Basic,Credit card,No,Movies,No,Tablet,30.19970758,156.2183635,27,Action,2.817686052,8,Male,0,No,No
44,19.85380594,873.5674616,Premium,Electronic check,Yes,TV Shows,No,Computer,18.25180398,141.5885576,1,Drama,1.466944661,5,Male,7,No,No
39,11.4114527,445.0466551,Basic,Mailed check,No,Movies,No,TV,11.77457071,57.03152038,27,Sci-Fi,3.175065523,0,Female,0,No,Yes
19,18.69566818,355.2176954,Standard,Electronic check,No,Movies,Yes,Mobile,39.02391669,154.1475372,19,Comedy,1.005025878,1,Female,2,No,No
38,15.25363205,579.638018,Standard,Credit card,No,TV Shows,No,Computer,6.960089811,108.4802939,7,Comedy,1.806915017,2,Male,6,No,Yes
114,6.832004337,778.8484945,Premium,Electronic check,No,Both,No,Computer,14.01800206,130.2202507,28,Comedy,3.38039957,1,Male,18,Yes,No
81,11.99990297,971.9921409,Standard,Electronic check,No,Movies,No,TV,9.818785331,27.56483661,6,Action,4.544330357,3,Male,19,No,Yes
22,7.025837191,154.5684182,Standard,Credit card,Yes,Movies,Yes,Computer,20.65481465,53.87278503,15,Comedy,1.530087357,4,Female,9,Yes,No
113,5.814864989,657.0797437,Standard,Bank transfer,No,TV Shows,No,Computer,16.18842645,51.16223828,5,Drama,3.953473919,7,Male,12,No,Yes
27,9.986958585,269.6478818,Basic,Mailed check,Yes,TV Shows,No,Mobile,30.99280466,166.0313503,3,Drama,2.768260089,2,Female,20,No,No
17,13.6555378,232.1441426,Basic,Credit card,Yes,Movies,No,Tablet,37.04172539,37.29946251,8,Comedy,1.341848633,9,Female,15,No,No
111,11.2633718,1250.23427,Basic,Electronic check,No,TV Shows,Yes,Computer,16.62907644,92.91334275,29,Fantasy,4.168578284,3,Female,8,No,Yes
34,12.41808892,422.2150231,Basic,Credit card,Yes,TV Shows,Yes,Mobile,16.46699613,29.21789331,21,Comedy,3.130619267,6,Female,9,Yes,Yes
92,7.920268538,728.6647055,Basic,Mailed check,Yes,Movies,Yes,TV,8.832798442,158.07456,49,Action,4.445186778,0,Male,11,No,Yes
50,17.67285555,883.6427773,Premium,Mailed check,No,Movies,No,Tablet,26.9523802,90.17155157,48,Fantasy,1.389972335,4,Female,0,Yes,Yes
66,19.67896004,1298.811363,Premium,Bank transfer,No,Both,Yes,TV,39.0192047,174.1203763,5,Action,1.280774329,7,Male,12,Yes,No
58,5.727484137,332.19408,Standard,Electronic check,No,Both,No,TV,16.86302963,104.357669,21,Drama,3.530366848,6,Female,24,Yes,Yes
67,13.01666879,872.1168089,Standard,Electronic check,Yes,Movies,No,Computer,32.14912106,83.14872101,34,Sci-Fi,4.817170816,5,Female,16,Yes,No
70,17.26661057,1208.66274,Basic,Bank transfer,Yes,Movies,No,TV,17.2928998,109.5781576,47,Comedy,4.0859291,4,Female,1,Yes,Yes
96,8.955554931,859.7332733,Premium,Bank transfer,Yes,TV Shows,Yes,Mobile,33.81562752,61.1164172,47,Comedy,2.877141497,3,Male,13,No,No
5,7.655454519,38.27727259,Basic,Bank transfer,Yes,Both,Yes,Tablet,13.60035467,66.465675,25,Drama,1.596606972,8,Male,15,No,Yes
98,19.53126639,1914.064106,Basic,Mailed check,No,TV Shows,No,Tablet,6.099430327,29.96173811,45,Action,1.152420318,1,Female,0,Yes,Yes
44,16.53096197,727.3623267,Standard,Electronic check,Yes,Both,No,Mobile,18.77510272,77.85017952,36,Drama,1.164185491,6,Male,2,Yes,Yes
76,16.93116277,1286.768371,Premium,Mailed check,Yes,Movies,No,TV,21.69955387,161.27352,5,Action,2.665486704,4,Female,7,No,No
114,17.16269419,1956.547137,Basic,Electronic check,No,TV Shows,Yes,TV,3.131724519,107.9928323,39,Drama,4.754989343,9,Male,7,Yes,No
99,6.142990276,608.1560374,Standard,Mailed check,No,TV Shows,No,Mobile,6.338301228,10.57468145,48,Comedy,4.574146357,2,Male,8,No,Yes
50,10.58214549,529.1072745,Standard,Electronic check,Yes,TV Shows,No,Computer,32.23077781,25.2071717,45,Action,3.36446311,7,Male,22,No,Yes
55,10.31058948,567.0824213,Basic,Mailed check,Yes,Both,Yes,Mobile,10.31653115,22.21614517,41,Drama,3.931678623,2,Female,21,Yes,Yes
96,14.15534077,1358.912714,Basic,Bank transfer,Yes,TV Shows,No,Tablet,21.26993543,107.8404829,30,Fantasy,2.457866765,4,Male,23,No,Yes
49,5.263672219,257.9199387,Basic,Credit card,No,Both,Yes,Computer,12.71172513,131.2572538,14,Drama,3.636702205,6,Female,9,No,Yes
82,11.36600808,932.0126628,Premium,Bank transfer,No,Movies,No,TV,26.56696814,76.36183689,22,Action,2.26659899,3,Male,21,Yes,No
83,5.290626722,439.1220179,Basic,Credit card,Yes,TV Shows,No,Tablet,31.11091793,29.03885466,26,Comedy,1.540347447,4,Male,3,Yes,Yes
28,15.14502575,424.060721,Basic,Mailed check,Yes,Movies,No,Tablet,16.62182507,82.15921913,1,Sci-Fi,3.143980335,7,Female,3,Yes,Yes
100,10.77781367,1077.781367,Standard,Bank transfer,Yes,TV Shows,Yes,Computer,32.97434092,32.04677195,15,Comedy,4.23398149,5,Male,1,Yes,No
102,12.86324803,1312.051299,Standard,Electronic check,No,TV Shows,No,TV,13.04284265,26.16722041,22,Comedy,4.584103006,7,Male,13,No,No
29,16.79487976,487.051513,Standard,Mailed check,No,TV Shows,Yes,TV,28.27371194,30.97500957,38,Drama,1.846235271,2,Female,0,Yes,Yes
106,18.398337,1950.223722,Standard,Electronic check,Yes,TV Shows,No,Computer,38.46967311,144.2964946,36,Comedy,4.529939807,9,Male,19,Yes,Yes
25,5.478504905,136.9626226,Standard,Electronic check,Yes,Both,No,Tablet,3.627692538,133.4659936,34,Sci-Fi,1.859230323,5,Male,23,Yes,No
94,19.76318859,1857.739727,Premium,Bank transfer,No,Movies,Yes,TV,14.4942963,171.4574239,19,Sci-Fi,2.25358565,4,Male,13,No,No
97,7.84735623,761.1935543,Premium,Credit card,No,TV Shows,Yes,Computer,27.45093399,162.8830963,48,Comedy,1.529976294,0,Male,3,No,No
72,9.763274817,702.9557868,Basic,Electronic check,No,Movies,Yes,Computer,35.06765277,28.83825912,29,Action,4.159895517,4,Male,19,No,No
9,5.050199869,45.45179882,Standard,Mailed check,No,Movies,No,Computer,8.463564795,107.7822491,18,Fantasy,2.460541944,6,Male,7,Yes,No
117,19.00713007,2223.834219,Premium,Electronic check,No,Movies,Yes,Computer,7.851993283,126.94145,6,Comedy,3.642208911,6,Male,7,No,Yes
19,19.53228815,371.1134749,Premium,Electronic check,Yes,Movies,Yes,Mobile,10.37412582,18.62951166,43,Fantasy,3.824875452,1,Male,18,Yes,No
82,14.62514535,1199.261919,Premium,Electronic check,Yes,Movies,Yes,Computer,16.66309761,88.73684019,4,Action,4.587781926,8,Female,7,No,No
8,10.36773526,82.94188206,Basic,Electronic check,No,TV Shows,No,Tablet,34.33158951,16.1330716,28,Fantasy,1.939816929,6,Male,6,Yes,Yes
103,15.27265491,1573.083455,Standard,Electronic check,No,TV Shows,Yes,Computer,19.47240543,24.67223089,29,Fantasy,4.372257426,9,Female,0,Yes,Yes
52,11.38432101,591.9846925,Basic,Credit card,Yes,TV Shows,No,Computer,32.81569612,133.9813618,46,Sci-Fi,2.78016796,8,Male,18,Yes,Yes
116,8.9025638,1032.697401,Basic,Bank transfer,Yes,TV Shows,Yes,Computer,8.913669366,159.7012208,44,Drama,2.3706013,3,Female,14,Yes,No
84,5.379166925,451.8500217,Standard,Bank transfer,No,Both,No,Computer,13.15442214,121.2609263,7,Fantasy,4.682676714,8,Male,19,No,Yes
98,5.228506127,512.3936005,Basic,Credit card,Yes,Movies,Yes,TV,20.08024269,97.9417765,3,Comedy,2.114546806,7,Male,14,No,Yes
3,6.532669549,19.59800865,Standard,Credit card,Yes,Movies,Yes,Tablet,17.38178784,169.6779282,31,Fantasy,3.972998869,4,Female,16,Yes,Yes
113,16.70767905,1887.967732,Standard,Credit card,No,Both,No,Mobile,18.58175725,132.4703714,46,Fantasy,1.862220721,4,Female,24,No,Yes
22,7.597270331,167.1399473,Premium,Electronic check,No,Movies,Yes,Tablet,37.46315515,86.35895365,49,Fantasy,3.906152331,6,Female,0,Yes,No
41,12.55829925,514.8902693,Standard,Bank transfer,Yes,Movies,Yes,Mobile,23.4723987,113.7812579,20,Drama,3.644385028,9,Male,20,No,No
4,17.26560974,69.06243895,Basic,Mailed check,Yes,Both,No,Tablet,16.51863183,79.09870857,19,Comedy,1.949419069,6,Female,8,No,Yes
22,6.979453127,153.5479688,Standard,Credit card,No,TV Shows,Yes,Computer,20.23482688,36.63436309,47,Comedy,2.023188265,2,Male,6,No,No
112,15.57270668,1744.143148,Premium,Electronic check,Yes,Both,No,TV,6.181049927,138.6994763,18,Action,1.158934759,0,Male,4,Yes,No
3,11.07599601,33.22798802,Standard,Credit card,No,TV Shows,Yes,TV,18.10622322,57.35011672,1,Sci-Fi,1.773913249,5,Female,12,Yes,Yes
20,5.057453638,101.1490728,Premium,Credit card,No,Movies,No,Computer,4.584441454,98.7189777,37,Action,3.453046561,7,Female,16,No,Yes
84,13.34242153,1120.763409,Standard,Mailed check,Yes,Both,Yes,Computer,39.88871323,14.91296217,23,Fantasy,2.978561917,9,Female,21,Yes,No
70,10.0602572,704.2180037,Standard,Credit card,Yes,Both,No,TV,22.59257052,135.4604777,1,Fantasy,3.697694687,7,Male,24,Yes,Yes
49,15.60202156,764.4990563,Basic,Bank transfer,No,Both,Yes,TV,18.36040752,176.2894077,20,Sci-Fi,2.287093532,9,Male,4,No,No
86,14.85191736,1277.264893,Standard,Bank transfer,No,Both,Yes,Tablet,17.30076876,32.79553406,49,Drama,1.997276264,3,Female,12,Yes,Yes
4,15.44097316,61.76389265,Basic,Mailed check,Yes,Movies,Yes,TV,4.261262983,79.05249163,27,Sci-Fi,3.665949545,3,Male,23,No,Yes
58,18.77894063,1089.178557,Standard,Mailed check,Yes,Movies,No,Computer,18.59618049,129.1310123,15,Sci-Fi,2.353249751,3,Male,1,Yes,No
115,9.971729584,1146.748902,Basic,Electronic check,Yes,TV Shows,No,Computer,2.849824216,19.63972863,12,Drama,1.609694227,4,Male,10,Yes,Yes
92,12.46419368,1146.705818,Premium,Mailed check,Yes,Both,No,Mobile,9.005559626,61.36666701,3,Fantasy,1.279133811,8,Female,24,Yes,No
14,11.87950262,166.3130367,Basic,Mailed check,Yes,Movies,Yes,Mobile,37.82250298,106.1394891,26,Comedy,2.034608774,3,Male,13,Yes,No
62,19.26238944,1194.268145,Premium,Mailed check,No,Both,Yes,Mobile,21.05029833,14.58596603,40,Action,4.75626819,5,Female,18,No,No
71,17.16567041,1218.762599,Premium,Mailed check,No,Movies,No,Tablet,30.2879458,150.7362166,35,Action,1.426132069,1,Male,4,No,Yes
10,16.1918317,161.918317,Basic,Electronic check,Yes,Both,No,TV,13.52626561,16.4373197,3,Fantasy,2.591535605,3,Female,8,No,Yes
8,15.11523051,120.921844,Premium,Mailed check,Yes,TV Shows,No,Tablet,36.81071744,11.75787256,12,Sci-Fi,1.945626812,3,Male,16,No,No
75,19.85105289,1488.828966,Premium,Electronic check,Yes,Both,Yes,Mobile,33.21804081,151.7790124,1,Sci-Fi,1.139479135,1,Male,0,No,No
84,9.260580839,777.8887905,Basic,Mailed check,Yes,Both,Yes,Computer,28.11561047,176.5431365,6,Fantasy,1.027293134,1,Male,14,No,No
90,11.33503715,1020.153344,Standard,Bank transfer,Yes,Movies,Yes,TV,17.01507854,13.55744647,25,Action,3.943911505,2,Female,4,No,Yes
8,16.08281512,128.662521,Standard,Mailed check,Yes,Both,Yes,TV,28.06870003,138.3505613,18,Fantasy,1.655986384,8,Male,23,No,No
40,11.4949665,459.7986601,Standard,Mailed check,No,TV Shows,Yes,Tablet,39.82409298,109.3905517,24,Sci-Fi,1.385034867,0,Female,24,Yes,No
99,19.88597834,1968.711856,Premium,Electronic check,Yes,TV Shows,Yes,TV,6.426605679,12.93343402,9,Comedy,2.618946401,4,Female,24,Yes,No
109,14.53074766,1583.851494,Standard,Electronic check,No,TV Shows,Yes,TV,35.79501363,151.9195074,15,Fantasy,1.45266194,4,Female,9,No,Yes
94,10.99276857,1033.320246,Standard,Bank transfer,Yes,Movies,Yes,TV,32.13849519,92.80298661,8,Fantasy,4.786424286,3,Male,9,Yes,No
2,15.6593076,31.3186152,Standard,Electronic check,No,Movies,No,Tablet,13.87674905,69.72501236,39,Comedy,3.782327025,3,Female,13,Yes,No
17,15.48962135,263.3235629,Premium,Bank transfer,Yes,Movies,Yes,Tablet,20.06319274,51.69304934,49,Sci-Fi,1.236676279,7,Male,15,No,No
29,10.06016507,291.7447872,Premium,Bank transfer,No,TV Shows,Yes,Mobile,8.575604331,9.88577383,35,Fantasy,2.662858261,2,Female,22,No,No
106,6.792454127,720.0001375,Basic,Electronic check,No,TV Shows,Yes,Computer,3.279021017,102.3601151,7,Sci-Fi,4.983719676,0,Female,14,Yes,Yes
59,10.81195528,637.9053614,Basic,Mailed check,No,Both,Yes,Tablet,24.23482015,142.0137962,35,Fantasy,2.603279489,0,Female,16,Yes,No
78,10.32000784,804.9606117,Premium,Electronic check,No,TV Shows,No,Computer,20.36732743,95.72829805,44,Action,2.417116849,7,Female,1,No,Yes
70,13.06744437,914.7211057,Basic,Electronic check,Yes,Movies,Yes,Tablet,2.417509661,178.7267697,26,Action,3.236943281,5,Male,17,Yes,Yes
83,16.26817221,1350.258293,Standard,Credit card,Yes,Movies,Yes,TV,18.03755422,145.9856176,46,Sci-Fi,2.411570899,0,Female,6,No,Yes
62,6.915148744,428.7392222,Standard,Mailed check,No,Movies,No,Tablet,38.4083385,88.21598913,32,Fantasy,2.976357679,4,Male,4,No,Yes
118,8.479782559,1000.614342,Premium,Credit card,Yes,TV Shows,Yes,TV,17.87348564,113.7821477,36,Fantasy,1.884186928,0,Male,24,No,No
22,14.02452473,308.539544,Standard,Credit card,No,Movies,No,Mobile,6.069151398,116.5432999,47,Comedy,1.823961196,4,Male,22,Yes,Yes
36,12.12166547,436.3799568,Basic,Bank transfer,Yes,Movies,Yes,Tablet,25.0771918,135.2870954,12,Fantasy,2.383011955,0,Female,6,No,No
108,8.129989435,878.038859,Basic,Electronic check,Yes,Both,Yes,TV,18.72904286,62.03344284,28,Drama,3.255542894,8,Male,11,Yes,No
108,10.51596935,1135.72469,Premium,Credit card,No,TV Shows,No,Tablet,1.794965524,110.0821149,5,Fantasy,4.52783438,3,Male,13,Yes,Yes
49,18.00746139,882.3656083,Standard,Credit card,Yes,TV Shows,Yes,Mobile,6.34329377,49.5892697,5,Fantasy,2.713538442,5,Female,8,Yes,No
45,9.603721503,432.1674676,Standard,Electronic check,No,Both,Yes,TV,6.524994975,90.43828091,32,Action,1.301373176,2,Male,1,Yes,Yes
104,15.4120836,1602.856694,Premium,Bank transfer,Yes,Both,No,Tablet,19.02150002,46.38702526,11,Drama,1.369349937,8,Female,7,Yes,Yes
88,12.0805463,1063.088074,Premium,Credit card,Yes,Both,Yes,Mobile,17.48159518,174.8005546,4,Fantasy,2.591195228,0,Male,13,No,No
108,10.67629936,1153.040331,Standard,Bank transfer,Yes,TV Shows,No,TV,30.71893318,126.2852417,45,Drama,4.520716997,9,Male,22,Yes,No
83,16.34852025,1356.927181,Basic,Credit card,No,Movies,Yes,TV,27.49531825,112.0777013,49,Comedy,1.466620517,9,Male,8,No,Yes
13,15.08618343,196.1203846,Premium,Electronic check,Yes,TV Shows,No,Tablet,16.75466044,29.32736758,15,Action,4.271678142,1,Male,11,No,Yes
11,15.05986141,165.6584755,Basic,Bank transfer,No,Both,Yes,Mobile,17.68726162,117.5033321,33,Sci-Fi,4.150988991,0,Male,5,Yes,Yes
66,11.59384694,765.1938983,Basic,Electronic check,No,Both,No,TV,4.587856062,153.6730764,18,Fantasy,3.941651166,8,Male,0,No,Yes
74,5.449896131,403.2923137,Basic,Bank transfer,No,TV Shows,No,Computer,37.38919492,26.98821368,19,Comedy,3.703485452,8,Male,21,Yes,No
58,16.87942694,979.0067625,Premium,Credit card,Yes,Both,No,Computer,21.04458831,62.5722702,15,Drama,2.755292527,9,Male,24,No,No
85,5.661815595,481.2543256,Premium,Credit card,No,TV Shows,No,Tablet,28.93005397,12.6060588,48,Fantasy,3.819615997,9,Male,24,Yes,Yes
110,18.29520823,2012.472906,Premium,Credit card,Yes,TV Shows,No,Computer,26.40580144,126.4377055,44,Sci-Fi,2.204650569,6,Female,6,Yes,Yes
98,15.79127934,1547.545375,Standard,Credit card,No,Movies,Yes,Computer,32.01894032,115.3953503,29,Action,3.577398235,6,Female,24,Yes,Yes
31,18.79018008,582.4955824,Standard,Mailed check,No,Both,Yes,Tablet,36.88544354,166.1641137,7,Sci-Fi,2.340551285,3,Male,24,No,Yes
103,11.94361897,1230.192754,Premium,Electronic check,Yes,TV Shows,Yes,Computer,7.647394953,159.472287,1,Comedy,2.934758709,0,Female,14,No,No
41,5.898361287,241.8328128,Standard,Mailed check,No,TV Shows,No,Tablet,28.7813074,117.231334,8,Fantasy,3.427073403,4,Female,8,Yes,No
68,10.88582551,740.2361348,Basic,Bank transfer,No,Both,Yes,TV,8.668995618,20.25613226,29,Sci-Fi,4.304920906,8,Female,12,No,Yes
51,10.08639084,514.4059328,Premium,Bank transfer,Yes,TV Shows,No,TV,12.33695933,53.17920792,46,Action,4.816801883,7,Female,13,Yes,Yes
57,9.41410505,536.6039879,Basic,Electronic check,Yes,TV Shows,No,Mobile,6.74467253,103.1414997,32,Fantasy,4.551190522,6,Female,15,No,Yes
5,19.34174031,96.70870154,Basic,Credit card,Yes,Both,Yes,Tablet,26.07656932,107.1835718,6,Sci-Fi,2.101582881,0,Female,24,Yes,Yes
114,19.98948893,2278.801737,Standard,Electronic check,No,Movies,No,Tablet,39.3020971,24.82048717,15,Comedy,3.557528053,7,Male,3,No,No
106,9.825420366,1041.494559,Basic,Bank transfer,No,Both,No,Tablet,8.558998046,9.916535252,16,Drama,3.656761125,6,Female,21,No,No
51,7.728378143,394.1472853,Basic,Electronic check,Yes,Both,No,Tablet,38.30608115,14.35797038,12,Comedy,3.341054097,7,Male,11,No,No
100,6.42382199,642.382199,Basic,Electronic check,No,TV Shows,Yes,TV,38.38857442,124.5943308,17,Action,1.375278615,1,Female,0,Yes,No
12,18.59638692,223.156643,Premium,Credit card,Yes,Both,Yes,Tablet,16.26716688,57.48454868,44,Drama,2.194355075,5,Female,2,No,No
74,16.64288082,1231.573181,Basic,Bank transfer,Yes,TV Shows,No,Tablet,13.33652301,178.7533709,30,Comedy,2.224769191,4,Female,11,Yes,Yes
111,5.730524315,636.0881989,Standard,Mailed check,Yes,TV Shows,Yes,Mobile,28.52587921,179.1610975,16,Fantasy,4.449869006,6,Female,11,No,No
63,17.82360823,1122.887318,Standard,Bank transfer,Yes,Both,Yes,Computer,3.785802145,93.20618587,20,Comedy,1.143679378,2,Female,4,Yes,No
40,5.794599505,231.7839802,Standard,Mailed check,Yes,Movies,Yes,Computer,11.84427247,13.69369498,13,Fantasy,3.418138684,2,Female,3,Yes,No
56,10.386405,581.6386799,Standard,Bank transfer,No,Movies,Yes,TV,14.12367338,122.5869047,26,Drama,4.737502572,9,Male,19,Yes,No
33,9.615031128,317.2960272,Standard,Credit card,No,Both,Yes,Tablet,11.10344598,151.134128,40,Fantasy,4.457645651,2,Male,11,Yes,No
29,19.78683828,573.8183101,Standard,Electronic check,No,Both,Yes,Tablet,6.560421307,84.17387123,25,Drama,1.545313121,8,Male,13,Yes,No
42,8.872995071,372.665793,Premium,Bank transfer,Yes,TV Shows,No,Computer,13.267514,59.09837979,14,Drama,1.28992409,1,Male,7,No,Yes
116,8.616396937,999.5020447,Premium,Bank transfer,No,Both,No,Mobile,18.99564629,67.72903665,25,Drama,3.322805209,7,Male,8,No,No
63,10.15287966,639.6314184,Premium,Credit card,Yes,TV Shows,No,Mobile,18.16429121,137.8821183,8,Drama,2.34873608,3,Female,0,No,No
92,17.21940483,1584.185244,Premium,Credit card,Yes,Movies,Yes,TV,9.002588888,58.40949288,17,Comedy,4.058623191,2,Female,19,Yes,No
94,19.41087654,1824.622395,Basic,Mailed check,No,Both,Yes,Mobile,1.70739433,164.7169386,3,Action,3.652629422,8,Female,0,No,No
21,9.165386209,192.4731104,Basic,Credit card,No,Both,Yes,Tablet,14.74796778,35.955156,47,Sci-Fi,4.163654418,5,Male,1,No,No
41,5.765851214,236.3998998,Standard,Credit card,No,Both,Yes,Mobile,35.07289821,175.766361,15,Fantasy,1.232249786,6,Male,9,No,Yes
91,12.28144755,1117.611727,Premium,Bank transfer,Yes,Both,Yes,Computer,20.74561492,51.94522268,40,Action,1.617280588,6,Female,9,Yes,Yes
82,7.165883691,587.6024626,Basic,Credit card,Yes,Both,Yes,Mobile,36.3023402,157.3477676,28,Drama,1.911151592,1,Male,13,No,No
62,13.19900926,818.3385743,Basic,Credit card,Yes,TV Shows,No,Tablet,19.14519228,57.93324084,21,Comedy,2.666213528,0,Female,2,No,No
63,9.370969706,590.3710915,Basic,Mailed check,Yes,Movies,No,Tablet,25.34055834,140.6804197,24,Fantasy,4.214347027,1,Female,8,No,Yes
58,6.375734426,369.7925967,Basic,Mailed check,No,Movies,No,Mobile,39.75753194,70.18050635,23,Fantasy,4.500552964,7,Male,13,Yes,Yes
94,6.441473205,605.4984813,Standard,Mailed check,No,Movies,Yes,Computer,26.19877183,178.6189377,4,Comedy,4.253957283,9,Female,8,Yes,No
62,6.996978951,433.8126949,Premium,Electronic check,Yes,Movies,No,TV,39.44214446,72.67411589,23,Comedy,3.640613123,1,Female,1,Yes,Yes
74,5.949395723,440.2552835,Basic,Credit card,Yes,TV Shows,Yes,Tablet,38.83581471,121.621211,8,Action,2.692361726,4,Male,10,No,No
102,13.3758966,1364.341453,Premium,Bank transfer,Yes,Movies,Yes,TV,39.21570887,122.9280694,11,Comedy,4.021985676,3,Female,14,No,No
41,11.46772006,470.1765224,Premium,Bank transfer,No,Both,Yes,Mobile,14.75537462,169.6979997,6,Action,2.720245791,1,Male,13,Yes,Yes
62,8.44233717,523.4249045,Premium,Electronic check,Yes,Both,Yes,Mobile,9.508697596,85.78403061,0,Drama,4.298009587,9,Female,10,Yes,Yes
46,6.36082653,292.5980204,Basic,Credit card,Yes,Movies,Yes,Computer,10.04799566,158.6125555,45,Drama,4.881365628,8,Male,3,No,No
86,8.810108948,757.6693696,Standard,Credit card,No,TV Shows,Yes,Computer,34.68291053,25.49017083,34,Fantasy,4.291237994,5,Male,10,No,No
22,12.68585549,279.0888209,Basic,Electronic check,Yes,Movies,No,Computer,27.79452859,107.1343352,38,Action,1.799228956,2,Male,14,Yes,No
87,6.800976411,591.6849477,Basic,Credit card,Yes,Both,No,Computer,32.51290337,67.76475082,0,Action,2.70504332,9,Male,12,Yes,Yes
73,19.69196187,1437.513217,Premium,Credit card,Yes,Movies,No,Mobile,8.993423346,30.30152587,4,Comedy,2.128533596,7,Female,21,Yes,No
109,19.22984176,2096.052752,Premium,Mailed check,Yes,Movies,Yes,Tablet,5.499533087,100.8034255,21,Action,1.539201167,9,Female,15,Yes,No
109,17.5879893,1917.090833,Basic,Credit card,No,Both,No,Mobile,16.29584394,44.42109888,29,Comedy,3.771809906,8,Male,15,Yes,No
83,8.651162879,718.046519,Premium,Electronic check,No,Both,Yes,TV,22.67323216,59.2204869,24,Comedy,2.053490349,5,Female,19,Yes,No
67,15.03669427,1007.458516,Premium,Credit card,No,TV Shows,No,Computer,25.73501212,133.2008617,13,Comedy,4.824744746,6,Male,1,Yes,Yes
119,6.737092379,801.7139931,Premium,Electronic check,Yes,TV Shows,No,Tablet,3.534907312,160.8052251,45,Comedy,1.922397083,2,Male,9,Yes,Yes
35,12.65330149,442.8655522,Basic,Bank transfer,Yes,TV Shows,No,Mobile,21.9692581,120.390879,39,Action,1.604332003,2,Female,7,No,Yes
84,6.991977508,587.3261106,Premium,Mailed check,No,Movies,No,Computer,25.07172539,128.2622857,13,Drama,1.773136101,5,Female,12,No,Yes
96,13.39283232,1285.711903,Basic,Bank transfer,No,Movies,No,Computer,7.923324634,112.9861154,41,Fantasy,3.247258636,7,Female,0,No,No
118,5.008385828,590.9895277,Standard,Mailed check,No,Both,Yes,Mobile,32.7921035,26.77603105,29,Comedy,3.911073011,4,Male,13,No,No
80,14.26129034,1140.903227,Basic,Electronic check,Yes,Both,Yes,TV,4.406683664,111.6761466,16,Comedy,1.451477649,0,Male,19,No,Yes
64,18.81064543,1203.881307,Standard,Credit card,No,Both,No,TV,24.16414888,137.9805249,11,Comedy,3.276602088,2,Female,8,No,Yes
35,8.746322139,306.1212749,Standard,Credit card,No,Both,No,Tablet,30.76757748,31.55658001,38,Action,2.553514028,5,Female,15,No,Yes
77,15.65193717,1205.199162,Standard,Electronic check,Yes,Movies,No,Computer,33.73272054,21.69837417,47,Sci-Fi,2.389828776,0,Female,20,Yes,No
73,8.541141649,623.5033404,Basic,Electronic check,No,Movies,No,TV,7.368133405,125.3733245,15,Fantasy,4.533302064,2,Male,17,Yes,No
47,6.985918818,328.3381844,Standard,Bank transfer,Yes,Movies,Yes,Computer,37.32810531,11.10725827,4,Drama,3.743501081,2,Female,14,No,No
60,9.660732387,579.6439432,Premium,Electronic check,No,Both,Yes,Tablet,17.27410459,99.78273522,19,Drama,1.600725175,3,Female,24,No,No
13,15.41464359,200.3903667,Standard,Credit card,No,Movies,Yes,Computer,20.42433619,27.27565077,5,Fantasy,3.260576118,6,Male,14,Yes,No
40,19.04461078,761.7844312,Basic,Credit card,No,Movies,No,Computer,33.06882733,36.06096585,9,Action,4.650442627,9,Female,24,No,No
6,11.0384535,66.23072099,Premium,Credit card,No,TV Shows,No,Mobile,10.73169725,178.3200073,4,Fantasy,1.898432957,5,Female,15,Yes,Yes
83,9.021550818,748.7887179,Premium,Mailed check,No,Movies,No,TV,17.44672727,14.29846686,1,Action,4.150034023,4,Male,20,No,No
21,9.974114251,209.4563993,Premium,Credit card,Yes,TV Shows,No,Tablet,9.773467886,50.6529598,40,Action,2.903594429,3,Male,11,Yes,No
105,14.78261062,1552.174115,Basic,Electronic check,No,Movies,Yes,TV,12.87028299,34.93216123,5,Drama,2.050417129,0,Female,16,Yes,Yes
38,11.54110204,438.5618774,Standard,Mailed check,Yes,Both,Yes,Mobile,27.29099992,35.79285188,45,Drama,2.115568353,7,Male,10,Yes,No
14,12.26747883,171.7447036,Premium,Electronic check,No,Movies,Yes,Tablet,15.77804539,77.41972283,13,Drama,2.399689645,2,Female,14,Yes,Yes
